CMDLINE /Users/jacob/Desktop/python_three/bin/python3 examples/game_of_life.py
MEM 0.285156 1526161597.3262
MEM 10.550781 1526161597.4309
MEM 26.054688 1526161597.5322
MEM 32.925781 1526161597.6349
MEM 35.957031 1526161597.7364
MEM 40.882812 1526161597.8409
MEM 40.964844 1526161597.9454
MEM 41.050781 1526161598.0498
MEM 41.218750 1526161598.1544
MEM 41.339844 1526161598.2589
MEM 41.457031 1526161598.3633
MEM 41.578125 1526161598.4678
MEM 41.746094 1526161598.5724
MEM 41.832031 1526161598.6768
MEM 41.921875 1526161598.7813
MEM 42.046875 1526161598.8858
MEM 42.121094 1526161598.9904
MEM 42.207031 1526161599.0947
MEM 42.328125 1526161599.1992
MEM 42.445312 1526161599.3037
MEM 42.523438 1526161599.4083
MEM 42.621094 1526161599.5127
MEM 42.699219 1526161599.6172
MEM 42.765625 1526161599.7223
MEM 42.902344 1526161599.8262
MEM 42.984375 1526161599.9308
MEM 43.066406 1526161600.0352
MEM 43.136719 1526161600.1397
MEM 43.250000 1526161600.2442
MEM 43.343750 1526161600.3487
MEM 43.410156 1526161600.4531
MEM 43.492188 1526161600.5577
MEM 43.546875 1526161600.6622
MEM 43.632812 1526161600.7667
MEM 43.703125 1526161600.8712
MEM 43.757812 1526161600.9757
MEM 43.828125 1526161601.0802
MEM 43.886719 1526161601.1847
MEM 43.933594 1526161601.2890
MEM 44.003906 1526161601.3936
MEM 44.042969 1526161601.4982
MEM 44.101562 1526161601.6026
MEM 44.136719 1526161601.7071
MEM 44.175781 1526161601.8115
MEM 44.218750 1526161601.9160
MEM 44.253906 1526161602.0205
MEM 44.300781 1526161602.1231
MEM 44.332031 1526161602.2237
MEM 44.367188 1526161602.3288
MEM 44.410156 1526161602.4292
MEM 44.464844 1526161602.5314
MEM 44.527344 1526161602.6360
MEM 44.585938 1526161602.7403
MEM 44.652344 1526161602.8448
MEM 44.695312 1526161602.9493
MEM 44.753906 1526161603.0538
MEM 44.808594 1526161603.1583
MEM 44.871094 1526161603.2628
MEM 44.910156 1526161603.3673
MEM 44.957031 1526161603.4718
MEM 45.011719 1526161603.5763
MEM 45.070312 1526161603.6808
MEM 45.125000 1526161603.7853
MEM 45.175781 1526161603.8898
MEM 45.238281 1526161603.9912
MEM 45.296875 1526161604.0963
MEM 45.335938 1526161604.1973
MEM 45.390625 1526161604.3024
MEM 45.433594 1526161604.4033
MEM 45.515625 1526161604.5051
MEM 45.566406 1526161604.6095
MEM 45.621094 1526161604.7141
MEM 45.671875 1526161604.8186
MEM 45.730469 1526161604.9230
MEM 45.773438 1526161605.0275
MEM 45.859375 1526161605.1320
MEM 45.937500 1526161605.2365
MEM 46.019531 1526161605.3411
MEM 46.074219 1526161605.4456
MEM 46.117188 1526161605.5500
MEM 46.156250 1526161605.6546
MEM 46.230469 1526161605.7590
MEM 46.281250 1526161605.8635
MEM 46.375000 1526161605.9681
MEM 46.457031 1526161606.0726
MEM 46.507812 1526161606.1769
MEM 46.574219 1526161606.2815
MEM 46.628906 1526161606.3859
MEM 46.687500 1526161606.4904
MEM 46.738281 1526161606.5949
MEM 46.789062 1526161606.6994
MEM 46.847656 1526161606.8039
MEM 46.886719 1526161606.9085
MEM 46.921875 1526161607.0130
MEM 46.949219 1526161607.1175
MEM 46.992188 1526161607.2218
MEM 47.027344 1526161607.3263
MEM 47.070312 1526161607.4308
MEM 47.128906 1526161607.5354
MEM 47.183594 1526161607.6399
MEM 47.222656 1526161607.7443
MEM 47.289062 1526161607.8488
MEM 47.332031 1526161607.9535
MEM 47.386719 1526161608.0578
MEM 47.445312 1526161608.1622
MEM 47.523438 1526161608.2668
MEM 47.593750 1526161608.3712
MEM 47.660156 1526161608.4757
MEM 47.714844 1526161608.5802
MEM 47.765625 1526161608.6847
MEM 47.820312 1526161608.7893
MEM 47.902344 1526161608.8938
MEM 47.980469 1526161608.9983
MEM 48.050781 1526161609.1028
MEM 48.101562 1526161609.2073
MEM 48.144531 1526161609.3118
MEM 48.226562 1526161609.4162
MEM 48.269531 1526161609.5208
MEM 48.339844 1526161609.6253
MEM 48.421875 1526161609.7297
MEM 48.480469 1526161609.8341
MEM 48.539062 1526161609.9386
MEM 48.605469 1526161610.0431
MEM 48.660156 1526161610.1476
MEM 48.687500 1526161610.2521
MEM 48.746094 1526161610.3566
MEM 48.796875 1526161610.4611
MEM 48.816406 1526161610.5657
MEM 48.843750 1526161610.6701
MEM 48.890625 1526161610.7745
MEM 48.933594 1526161610.8790
MEM 49.000000 1526161610.9835
MEM 49.074219 1526161611.0880
MEM 49.121094 1526161611.1926
MEM 49.148438 1526161611.2936
MEM 49.207031 1526161611.3944
MEM 49.253906 1526161611.4946
MEM 49.292969 1526161611.5989
MEM 49.339844 1526161611.7035
MEM 49.386719 1526161611.8079
MEM 49.445312 1526161611.9124
MEM 49.515625 1526161612.0169
MEM 49.578125 1526161612.1214
